@RELATION ALUMNO
@ATTRIBUTE idHecho					NUMERIC
@ATTRIBUTE noBoleta					NUMERIC
@ATTRIBUTE idProfesor				NUMERIC
@ATTRIBUTE idTiempo					NUMERIC
@ATTRIBUTE idMateria				NUMERIC
@ATTRIBUTE calificacionMateria		NUMERIC
@ATTRIBUTE evaluacionProfesor		NUMERIC

@DATA
121,2008728678,1017,944,491,10,6
122,2004463229,1130,643,475,10,2
123,2014830862,3638,931,365,1,0
124,2014309582,2244,905,5,8,6
125,2004322724,2046,314,351,1,7
126,2012867259,2589,850,52,8,3
127,2013952055,4280,924,249,4,0
128,2010586735,2708,657,285,9,9
129,2001817399,2935,354,89,2,9
130,2012668430,4170,307,384,9,2
131,2014577981,2128,205,354,8,9
132,2010653381,1364,353,341,0,6
133,2003075676,2396,65,380,5,9
134,2002110266,1413,936,484,6,0
135,2005242191,2941,493,173,5,10
136,2015358987,3710,728,50,6,5
137,2008804005,2454,434,392,4,8
138,2013145640,1368,902,322,3,7
139,2009204922,4400,638,76,0,9
140,2012282263,4205,560,223,9,3
141,2008965134,3171,951,261,5,4
142,2004682790,4148,604,471,2,8
143,2015345416,925,493,419,5,3
144,2008633428,2062,4,96,4,8
145,2009898024,4593,759,55,6,2
146,2009446881,3415,518,115,5,6
147,2008991171,4175,29,148,5,5
148,2013727264,20,345,377,7,6
149,2004026508,1135,619,162,7,6
150,2014867663,4302,873,494,10,3
151,2010753876,1244,619,136,3,4
152,2003217595,2659,503,204,5,8
153,2008323418,2725,933,1,4,0
154,2002316259,1301,211,253,10,5
155,2015602554,246,64,11,9,5
156,2002939883,4891,7,403,8,0
157,2010137221,4779,67,220,0,6
158,2005409144,1219,765,242,1,6
159,2015229885,3387,374,438,9,7
160,2005234555,3182,166,268,10,6
161,2003883814,2216,81,442,2,3
162,2005407010,4089,94,71,7,9
163,2009308020,4429,897,193,0,2
164,2003838070,3454,303,177,2,3
165,2001907451,4083,182,10,2,4
166,2009701599,4204,771,141,1,4
167,2005678361,4990,35,175,4,6
168,2012234378,693,934,379,7,5
169,2005096146,2814,360,40,7,6
170,2011185276,3739,793,330,7,1
171,2009525219,352,547,463,8,6
172,2014918397,3425,696,270,3,2
173,2009443717,366,886,19,6,6
174,2001912045,366,288,313,1,4
175,2007934099,1828,362,276,5,5
176,2010208165,1001,277,438,8,1
177,2008830495,4662,679,342,3,5
178,2008837271,2068,142,409,6,2
179,2002474956,4480,816,215,2,5
180,2012417363,4483,191,166,5,5
181,2000997613,2759,32,240,3,9
182,2014871692,3368,417,243,4,1
183,2013826660,2641,315,374,6,6
184,2006027361,4226,271,101,4,0
185,2006570982,4354,69,217,0,6
186,2000270837,2266,734,289,1,3
187,2002799347,4025,231,461,10,9
188,2006543242,3886,50,299,2,6
189,2012441224,3678,783,310,6,5
190,2000603527,2118,831,233,6,10
191,2002335314,2592,424,365,6,4
192,2007372704,4663,942,465,3,7
193,2000094811,3046,534,112,3,10
194,2008814605,4757,735,72,8,10
195,2001130139,2271,293,44,1,5
196,2015528767,291,570,301,7,5
197,2000889627,2973,554,55,10,4
198,2003534091,1419,131,89,9,0
199,2014020344,3587,503,48,5,7
200,2002629610,1986,167,291,1,10
201,2009755330,4449,766,406,5,3
202,2001713197,1752,278,311,10,2
203,2003728099,4473,410,329,0,2
204,2013664263,3385,766,156,0,8
205,2009649587,1283,670,259,10,2
206,2012632289,999,276,442,1,0
207,2005533134,545,777,2,10,8
208,2006634482,1784,966,330,8,8
209,2006953126,4012,194,53,2,1
210,2004226671,1011,971,376,5,7
211,2004665566,3677,460,121,9,10
212,2007586417,2718,595,227,1,2
213,2008545145,4138,585,257,2,3
214,2007105650,4612,164,58,6,6
215,2011743379,4666,141,437,6,1
216,2009303538,3282,430,96,7,3
217,2013225402,2598,821,129,8,7
218,2012528650,3992,674,66,5,8
219,2004356894,1335,565,47,6,7
220,2007795180,4582,653,152,1,0
221,2007233828,4971,255,452,7,7
222,2004562831,4244,283,61,7,9
223,2011296542,1682,778,282,2,0
224,2000075825,1603,854,313,7,7
225,2013426495,2311,705,324,6,1
226,2012848364,4591,761,138,6,10
227,2015017373,3564,826,133,3,0
228,2004091724,1238,329,385,3,3
229,2011366931,403,84,87,5,2
230,2008012723,4158,454,11,6,4
231,2004926079,4150,222,159,10,7
232,2012867371,1032,436,436,3,2
233,2013627171,71,524,402,6,5
234,2010647362,4210,300,251,10,9
235,2013408906,3719,296,399,1,10
236,2008048751,2840,468,251,9,1
237,2008381562,1487,196,144,8,8
238,2012802291,2317,898,81,1,0
239,2005708303,1933,97,403,3,7
240,2003061844,749,149,464,1,8
241,2004290950,2599,682,200,3,8
242,2012675630,3175,292,246,0,5
243,2003253162,1639,428,43,6,3
244,2007474032,3362,990,279,3,5
245,2001351296,788,840,335,10,8
246,2010081891,2235,518,39,10,1
247,2010977192,2657,188,378,5,7
248,2009819234,208,377,309,0,4
249,2000131121,2835,188,102,10,4
250,2014104072,475,893,251,7,0
251,2012258389,4081,949,398,5,0
252,2000923061,227,599,372,2,7
253,2004724063,2214,441,47,6,2
254,2001109296,1175,466,327,8,9
255,2010074734,375,994,5,2,2
256,2008094814,1775,783,430,7,10
257,2003502122,189,76,479,4,9
258,2014074978,1735,390,394,9,0
259,2009130085,1820,907,56,2,6
260,2004889582,411,131,78,9,0
261,2012332609,138,50,12,5,10
262,2002800824,2207,870,107,2,6
263,2015669407,191,166,228,2,2
264,2015659167,3092,887,90,7,7
265,2007469352,1642,540,174,0,5
266,2013804367,3906,751,238,10,3
267,2015501019,4601,276,197,1,2
268,2011444910,3855,635,240,2,7
269,2012056155,2848,888,356,3,2
270,2005879447,3127,512,27,10,9
271,2006529747,1494,982,306,4,3
272,2010690647,4621,496,466,5,0
273,2002729038,1696,411,83,10,9
274,2011752490,3896,112,53,8,8
275,2005634969,953,924,132,4,8
276,2004062139,1024,362,398,9,7
277,2015841037,4157,468,278,8,0
278,2013771345,4040,389,329,2,0
279,2001230702,2566,162,265,10,4
280,2011589936,1567,610,391,0,4
281,2006887039,4459,277,347,10,4
282,2014113541,140,815,291,9,0
283,2002518917,1962,227,257,3,8
284,2007390545,1765,730,391,8,0
285,2005999048,1282,97,303,4,6
286,2014987591,1426,251,327,9,4
287,2006969598,1988,810,426,5,0
288,2008614890,463,192,401,4,4
289,2003824144,945,838,82,10,1
290,2011255434,2628,307,395,6,3
291,2014085368,1684,37,420,5,5
292,2005907075,2053,145,366,2,0
293,2000644780,1601,933,76,1,2
294,2010868498,4161,911,467,8,2
295,2014564760,2581,350,184,0,0
296,2004537104,4669,180,126,2,8
297,2007116951,1505,886,252,9,10
298,2010279468,4415,319,404,6,8
299,2002053138,3096,744,411,1,7
300,2014246207,185,422,202,9,4
301,2011518208,1499,600,177,8,8
302,2011832639,558,831,115,1,6
303,2012839146,1322,826,219,10,6
304,2015610839,1984,978,278,3,9
305,2008545979,108,139,66,10,7
306,2001352274,3387,44,347,6,7
307,2005879536,4554,988,104,3,4
308,2006919497,1601,736,118,4,4
309,2011452527,1271,107,214,3,0
310,2012520499,4801,75,208,10,5
311,2009373316,1399,63,469,5,2
312,2014780108,3515,518,430,1,1
313,2014547623,293,154,87,8,6
314,2013995686,184,437,484,10,10
315,2014259314,770,125,139,5,1
316,2010197155,502,934,359,8,1
317,2003935045,4851,136,343,5,4
318,2014209713,1033,28,37,8,7
319,2009183093,2295,292,439,7,6
320,2011067178,3588,703,263,8,9
321,2009510445,3782,994,204,5,7
322,2002622066,1107,551,448,7,2
323,2007037645,3264,657,355,5,0
324,2014192332,4484,360,443,0,10
325,2009790279,2851,943,227,6,0
326,2002887237,3309,865,20,5,4
327,2013956730,2771,953,441,3,2
328,2012012208,4926,997,480,2,2
329,2009368724,1832,583,436,4,3
330,2008364219,4142,666,140,10,1
331,2004550848,4718,953,164,3,9
332,2000063420,269,836,456,9,10
333,2005779876,2735,444,287,6,7
334,2008706710,2486,990,232,6,8
335,2013529900,4008,327,482,5,9
336,2007787791,1258,88,244,5,8
337,2013913334,3831,895,147,4,1
338,2008597936,3489,829,64,5,2
339,2004891604,287,70,421,4,8
340,2002842158,3448,823,198,5,8
341,2006596863,694,194,160,0,9
342,2009265061,982,899,354,4,1
343,2011132500,3492,528,54,2,8
344,2008756547,624,338,318,6,4
345,2008678829,3637,659,378,3,1
346,2010088209,2197,729,37,9,7
347,2006448964,4125,347,37,10,5
348,2015878805,2050,787,123,7,10
349,2010954824,4335,653,71,8,6
350,2000336899,3271,855,3,4,4
351,2012202082,1140,428,426,10,9
352,2004547650,1273,500,498,2,2
353,2008062340,2635,175,160,7,7
354,2010755224,3286,42,143,8,4
355,2001645349,3891,483,48,2,5
356,2008912050,2132,276,430,7,3
357,2000334258,3997,660,405,9,4
358,2014298204,2319,128,216,3,6
359,2002524784,1792,458,419,4,2
360,2006662030,2186,390,405,6,4
361,2002639092,4300,290,102,8,2
362,2014767080,4064,270,453,3,4
363,2003354022,3071,958,471,0,5
364,2010339045,4068,949,143,5,8
365,2005967620,4269,192,17,6,7
366,2013870358,3073,399,160,5,2
367,2007638214,151,611,148,9,0
368,2013767453,1730,9,447,9,10
369,2010164385,2002,422,56,10,7
370,2013750237,1802,113,292,6,4
371,2000018421,1541,137,322,1,10
372,2010411964,366,793,443,1,4
373,2005650148,4427,861,438,6,7
374,2007238370,2667,792,142,9,10
375,2004110899,4153,82,200,10,3
376,2002654114,2655,933,207,7,4
377,2004333650,1920,127,117,6,9
378,2002846976,847,753,358,8,7
379,2005559812,3572,77,167,5,4
380,2011428604,1830,75,35,6,5
381,2000662325,920,613,45,5,6
382,2003437793,1432,296,373,8,0
383,2007422405,909,583,358,3,3
384,2003449350,2460,158,125,1,4
385,2013935523,460,644,137,3,4
386,2009156062,1381,249,154,0,3
387,2008369602,120,89,349,0,9
388,2000843830,4452,11,77,5,8
389,2001127872,2721,865,266,0,5
390,2000048181,1477,938,170,0,9
391,2011381324,1673,225,235,7,3
392,2007299152,2597,487,269,2,6
393,2012825972,4733,889,9,4,5
394,2008390835,3816,451,220,5,3
395,2002857380,4549,702,314,10,9
396,2015490303,3997,880,346,1,10
397,2009760651,3147,938,224,7,8
398,2015882067,1534,603,199,5,3
399,2007341101,3424,995,173,10,8
400,2009896085,4508,67,292,5,2
401,2014143142,2301,107,481,10,1
402,2011051498,4186,914,317,0,2
403,2015360126,2707,235,356,7,0
404,2007368356,1830,970,229,10,8
405,2015166311,1914,968,108,6,6
406,2013916239,1035,520,98,1,4
407,2009141720,4396,860,279,2,10
408,2009308833,1505,147,217,2,5
409,2000904746,1322,646,3,9,9
410,2008008444,1955,248,458,2,10
411,2012066102,1290,811,243,9,4
412,2008928763,4749,420,203,10,7
413,2000367078,781,575,54,7,4
414,2001725077,2955,964,125,7,3
415,2001373352,4231,240,100,9,0
416,2009359744,1238,916,33,5,8
417,2009719246,3330,970,358,2,10
418,2010411161,301,904,93,2,3
419,2015969500,1693,718,432,8,9
420,2003312432,433,463,168,1,2
421,2003099311,3505,14,1,6,0
422,2013925043,3913,893,200,10,3
423,2005914398,1084,210,398,3,9
424,2010516490,2800,422,398,8,4
425,2003236180,1924,746,485,7,5
426,2012242013,2529,993,492,6,9
427,2013958938,341,323,240,7,0
428,2011024634,2415,279,201,7,5
429,2003714314,1264,917,398,4,3
430,2001037057,3803,716,236,9,1
431,2008189350,2972,866,37,10,3
432,2013349065,1805,326,419,2,2
433,2009264551,4732,189,449,9,7
434,2001749362,3327,446,31,1,7
435,2010601265,2805,249,44,3,4
436,2000903745,3379,184,6,8,10
437,2010624676,4716,68,222,7,5
438,2003823538,4336,502,180,1,6
439,2002732211,4229,664,491,1,2
440,2009013648,561,704,346,10,3
441,2008122084,1595,133,244,2,1
442,2002313654,2684,681,463,5,2
443,2009597643,1405,386,154,5,4
444,2007910018,2767,819,384,4,8
445,2011417587,1776,896,261,8,5
446,2002041361,34,414,180,3,1
447,2007384956,2847,371,267,6,3
448,2001669981,2737,158,413,5,9
449,2014653395,2547,142,178,9,7
450,2000052534,3920,467,422,6,4
451,2008537152,4415,992,9,0,7
452,2009478266,1315,342,104,9,3
453,2004753484,412,164,41,5,2
454,2011194783,3425,174,233,3,10
455,2008320559,4538,583,36,3,1
456,2007162535,3521,446,435,1,3
457,2002796771,3078,187,233,8,2
458,2007018364,811,938,377,6,1
459,2012856316,4850,311,496,1,5
460,2007288041,2552,480,350,4,6
461,2014481596,1351,830,171,4,2
462,2010830547,395,495,311,10,2
463,2008712338,4892,298,237,4,1
464,2007972350,984,230,310,6,6
465,2013196263,1633,947,283,2,6
466,2000227049,3,210,355,7,8
467,2003031684,4245,463,136,1,7
468,2003847563,1177,823,468,2,4
469,2002998155,2308,875,88,7,2
470,2000990862,211,388,394,6,8
471,2004568927,4788,507,378,6,0
472,2008546746,1595,174,389,3,6
473,2008942364,2337,514,34,6,0
474,2002836579,3776,134,114,4,4
475,2007592833,591,316,336,2,4
476,2005852309,4799,383,441,7,1
477,2014751264,2857,502,25,4,5
478,2001200349,2994,771,15,4,3
479,2009854649,1872,448,232,10,10
480,2002330615,2389,228,148,0,5
481,2006174203,2757,934,87,9,10
482,2010917420,4210,755,38,0,0
483,2013537082,1130,297,287,3,10
484,2006336818,3848,954,13,7,1
485,2010489104,4598,453,17,5,5
486,2000669167,3621,915,396,6,6
487,2012513579,2853,961,162,1,3
488,2006131221,4103,239,93,3,3
489,2007493243,3235,67,328,5,10
490,2015687658,1105,304,8,0,1
491,2006912107,1102,836,211,6,0
492,2003842573,3373,874,25,2,0
493,2006683611,2945,205,264,9,6
494,2006311976,1098,141,131,0,6
495,2015964130,7,551,22,10,9
496,2012450903,4795,171,355,10,0
497,2001439318,818,948,447,10,4
498,2003607197,1621,222,453,7,10
499,2002920442,1373,648,163,2,8
500,2009072382,1707,784,102,9,9
501,2015521898,4455,533,319,6,3
502,2014052086,4416,374,26,6,6
503,2003704263,203,479,79,8,7
504,2010215872,1648,575,2,0,5
505,2009907015,240,476,246,2,4
506,2009861856,897,540,93,0,10
507,2005988680,3965,880,42,2,4
508,2008308054,4257,614,16,3,10
509,2008384881,3752,186,457,1,7
510,2015743752,4470,26,499,9,9
511,2001928478,4377,985,256,3,1
512,2010980313,376,789,260,8,0
513,2015510473,1228,911,210,2,3
514,2002855005,2711,777,241,5,10
515,2012876975,3299,969,255,10,3
516,2009789926,3071,393,333,4,9
517,2003929265,4339,777,154,0,2
518,2006436228,509,70,429,2,1
519,2013787073,802,681,254,6,5
520,2010844643,1034,975,312,4,5
521,2015518219,1229,67,445,3,3
522,2014671754,3553,433,115,10,2
523,2013092965,1774,323,88,5,10
524,2011606431,3826,56,483,7,2
525,2000468146,4325,196,50,10,2
526,2014830095,322,289,314,2,4
527,2006771461,4235,752,173,2,10
528,2008670421,4904,685,326,2,10
529,2010836586,2611,590,40,3,7
530,2011554210,3823,550,447,2,3
531,2004018440,769,299,56,2,7
532,2002992028,2150,365,486,2,4
533,2012980193,3353,857,37,10,7
534,2000506886,1966,944,459,1,10
535,2004787976,2101,480,326,6,7
536,2014784509,2532,602,276,8,0
537,2000174546,1814,442,194,6,5
538,2009870374,3815,419,426,1,6
539,2003538364,3867,988,211,4,6
540,2012255071,2608,374,208,4,8
541,2008874289,2102,567,442,1,9
542,2010184726,379,28,351,2,0
543,2012013731,2630,392,109,7,9
544,2004869868,833,374,31,5,4
545,2006033053,2024,465,281,5,3
546,2002810350,3211,719,95,7,3
547,2010619797,857,441,57,1,5
548,2011757559,4742,456,264,2,2
549,2002244367,1645,460,270,1,6
550,2001025229,3997,442,382,2,0
551,2005949568,1143,923,281,2,0
552,2012430395,3914,825,374,8,6
553,2006080846,3218,950,316,6,6
554,2002937517,1354,611,313,9,4
555,2001497086,544,552,46,10,5
556,2010011167,2922,922,216,2,2
557,2001840877,92,826,296,10,9
558,2007604100,3903,323,177,8,0
559,2005199578,1246,164,410,0,2
560,2015562026,1375,627,369,3,2
561,2006797180,1067,717,245,4,1
562,2012704577,564,911,65,5,7
563,2005168650,4897,125,19,2,10
564,2007597092,4571,109,335,0,8
565,2014278342,3623,70,328,6,10
566,2014231781,1063,577,355,8,1
567,2008602358,756,806,384,9,3
568,2013691050,4431,162,480,1,4
569,2012949604,3310,978,496,8,0
570,2005481281,4173,704,471,5,5
571,2014406737,293,408,71,3,5
572,2000766845,2805,617,381,5,6
573,2002347435,3515,236,258,5,0
574,2007490148,4403,43,30,0,4
575,2006889687,4966,147,104,5,0
576,2000654794,2458,403,468,7,6
577,2011933837,3106,958,51,7,2
578,2005402392,3661,4,177,3,1
579,2003599914,4426,610,205,4,5
580,2011780290,176,748,431,5,8
581,2001978090,445,154,418,10,9
582,2003385262,799,357,363,5,8
583,2012453949,1949,121,247,8,9
584,2012441253,3144,726,200,8,0
585,2008469893,1765,12,392,8,2
586,2005207534,2988,149,424,0,0
587,2012047242,141,557,3,4,8
588,2004138830,2643,39,207,0,8
589,2012473033,1977,491,403,6,1
590,2009393793,1907,361,134,9,9
591,2010440221,407,700,406,1,8
592,2009638087,1598,869,86,1,7
593,2007674162,4320,162,142,9,8
594,2011712812,447,623,276,3,8
595,2007121267,1493,173,261,8,1
596,2001987562,1278,191,197,1,3
597,2011067904,3051,718,350,4,6
598,2013042229,513,43,249,6,1
599,2005829493,1042,264,402,0,5
600,2009241611,551,754,11,5,?
